title,postexcerpt
Orion Space wins U.S. Space Force contract for on-orbit services experiment,Orion Space Solutions announced Aug. 16 it was selected by the U.S. Space Force to develop three small satellites for a demonstration of on-orbit services in geostationary Earth orbit.
China gears up for launches to complete Tiangong space station,China is preparing to launch the final missions to complete its three-module Tiangong space station which it plans to keep constantly occupied for at least a decade.
NASA completes agreement with Axiom Space for second private astronaut mission,"NASA has completed an agreement for a second private astronaut mission to the International Space Station with Axiom Space, the only company that bid on the opportunity."
Turion Space licensed to sell commercial SSA data,California startup Turion Space said Aug. 24 it has secured U.S. regulatory approval to sell space situational awareness services from its first satellite next year.
Space Force to activate sensor on Wide-Field-of-View missile warning satellite,"A U.S. Space Force infrared sensing demonstration satellite launched in July will soon start receiving data, the Space Systems Command announced Oct. 24."
AEI claims majority stake in York Space Systems,"AE Industrial Partners announced plans Oct. 4 to acquire a majority stake in York Space Systems, a small satellite manufacturer and turnkey mission operator based in Denver."
U.K. government announces new space sustainability measures,"The British government announced a series of measures June 23, from regulations to funding active debris removal projects, intended to make the country a leader in space sustainability."
Japan agrees to space station extension and Gateway contributions,The Japanese government has formally agreed to extend its participation on the International Space Station through 2030 and provide components for the lunar Gateway.
Space Force tries to turn over a new leaf in satellite procurement,The Space Systems Command next year will seek industry bids for as many as four infrared sensing satellites for missile tracking from medium Earth orbit (MEO).
"U.S. national security space strategy emphasizes resilient systems, responsible behavior","A recently completed U.S. space strategy stresses the need to deploy resilient constellations that can operate under attack, and supports norms for responsible behavior in space"
Space cybersecurity firm SpiderOak adds retired general Pawlikowski to its advisory board,"Space cybersecurity firm SpiderOak on July 12 announced the appointment of former DoD and military officials to its advisory board."
White House requests proposals for regulating novel commercial space activities,The White House will ask federal agencies for their proposals for how to authorize and supervise emerging commercial space capabilities that don’t fit into current regulatory regimes.
Raytheon to acquire UK startup Northern Space and Security,"Raytheon announced July 18 it intends to acquire Northern Space and Security, or NORSS, a UK startup that specializes in space domain awareness."
